,Title,File Type,Last Modified Date,Description,URL
87,Food Pantry and User Data -- client,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/d2c19939_20d2_46c1_b23a_ccf8afde50bf
88,Food Pantry and User Data -- client followup,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/0c4dcffe_36f6_4cdc_9fa1_3ede33135ea4
89,Food Pantry and User Data -- client income range,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/e2fba283_9b52_47c3_b9af_613ec8f58571
90,Food Pantry and User Data -- client referral,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/b749cadc_0e71_4f14_85eb_246bc795b203
91,Food Pantry and User Data -- client source code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/86862a1a_93e7_4386_871c_35a278f53da3
92,Food Pantry and User Data -- client_followup_code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/b15799b7_eee2_43e8_a49c_4e0567e9b192
93,Food Pantry and User Data -- client_income_source,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/a1a04753_f077_4fa4_8065_592ef1953d32
94,Food Pantry and User Data -- county,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/20c202f9_4ac0_4331_95f7_de2221283658
95,Food Pantry and User Data -- county zip,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/ca44a521_1c38_47d7_9d7c_ecbe0139cbc5
96,Food Pantry and User Data -- directory keywords,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/866bd0f0_e57d_43c4_be7c_9668026d759c
97,Food Pantry and User Data -- firs unsatisfied code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/bfbe088d_db2e_41e3_b7a9_3974048d7e87
98,Food Pantry and User Data -- firs user,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/6e419507_33d7_4914_92c8_fe86790e38cf
99,Food Pantry and User Data -- household member,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/08ef13f2_bd14_4bc0_a047_422b482c50ce
100,Food Pantry and User Data -- how heard code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/b638a777_9873_4046_8d77_efbe91de6cc4
101,Food Pantry and User Data -- income source code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/229a2700_3e45_48d3_af5e_dbf2471c4bf0
102,Food Pantry and User Data -- interview method code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/90f4d3aa_ec65_450a_b47b_d5167237a3ac
103,Food Pantry and User Data -- language,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/c4ea560a_ec9b_473d_87e0_626c069e47d6
104,Food Pantry and User Data -- location consolidated,CSV,"May 7, 2018 (Last updated by provider)","This consolidated data combines agency_location, service_location, agency_service, and service_taxonomy, so that we can find locations of agencies providing a particular service.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/location_consolidated
105,Food Pantry and User Data -- service location,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/ec24773c_7cff_4589_9e2f_bcdeb5cdfd48
106,Food Pantry and User Data -- service taxonomy,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/2a919af7_12d3_47a4_b86a_56692e2e1623
107,Food Pantry and User Data -- state,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/63d4ca1a_4be1_4859_895f_98ca37e375c3
108,Food Pantry and User Data -- survey code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/da7de78e_8938_4d31_ba17_a8bf070573ee
109,Food Pantry and User Data -- target taxonomy,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/e0e82b70_6871_44b8_a29a_f596b57d32e3
110,Food Pantry and User Data -- taxonomy,CSV,"Jul 31, 2019 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/371dd944_411c_4851_a065_9f3f605ddfb9
111,Food Pantry and User Data -- unmet need code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/12fde955_b93a_475e_aba0_4cf5e3bb0e06
112,Food Pantry and User Data -- zip,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/d6098dd1_224a_4fe8_9e9b_38e8ea81fddf
113,Food Pantry and User Data -- zip served,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/b2013745_f924_4058_b221_e8586bfaf1a0
114,Food Pantry Data,CSV,"Jul 31, 2019 (Last updated by provider)","This dataset identifies agencies in central ohio that offer various services including food pantry, mortgage payment assistance, rental payment assistance, etc., The dataset provides information about location, business hours, eligibility, ...",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/d70a7ba6_4ab7_4538_b638_9c5639964923
115,Franklin County AADT - MORPC,CSV,"Feb 28, 2019 (Last updated by provider)","This dataset presents information about Annual Average Daily Traffic counts collected in the Franklin County region. MORPC compiles data from cities in Central Ohio, ODOT and MORPC's counts.",https://discovery.smartcolumbusos.com/dataset/morpc/cf296103_c9ba_43b8_af9f_b68ccf9fa07d
116,Franklin County Census Tracts and Blocks - Mid Ohio Food Bank - CRH Tracts,CSV,"May 17, 2018 (Last updated by provider)","Census tracts dataset identifies list of the 284 census tracts in Franklin County, Ohio. Includes the Geofips_tract that links to crh_families_deidentified.csv. Each tract is also identified with it's alignment to the CRH Zones that were ge...",https://discovery.smartcolumbusos.com/dataset/mid_ohio_food_bank/bf78195a_c597_4265_bace_15abc1a05db3
117,Franklin County Census Tracts and Blocks - Mid Ohio Food Bank -- CRH Block Groups,CSV,"May 17, 2018 (Last updated by provider)","Census tracts dataset identifies list of the 284 census tracts in Franklin County, Ohio. Includes the Geofips_tract that links to crh_families_deidentified.csv. Each tract is also identified with it's alignment to the CRH Zones that were ge...",https://discovery.smartcolumbusos.com/dataset/mid_ohio_food_bank/dda7c91e_9e8b_4e75_8165_b7d85ef467c2
118,Franklin County Traffic and Environmental Citations Data 2018 -- Metadata,CSV,"Apr 19, 2018 (Last updated by provider)","This dataset covers traffic and environmental citations data within Franklin County. It identifies the type of violations, violation code, case disposition status, charge status, Year of birth of the violator primary and secondary streets o...",https://discovery.smartcolumbusos.com/dataset/franklin_cnty_municipal_court/f43988e6_7abe_439e_825b_fe8bc577f0a9
119,Franklin County Traffic and Environmental Citations Data 2018 -- PII Redacted,CSV,"Apr 19, 2018 (Last updated by provider)","This dataset covers traffic and environmental citations data within Franklin County. It identifies the type of violations, violation code, case disposition status, charge status, Year of birth of the violator primary and secondary streets o...",https://discovery.smartcolumbusos.com/dataset/franklin_cnty_municipal_court/a429b21e_03d6_4cb2_aabe_938de724ebe7
120,Franklin County Turning Movement Counts - MORPC,CSV,"May 31, 2019 (Last updated by provider)","This dataset presents information about Turning Movement Counts collected at various intersections in the Franklin County region. MORPC compiles data from cities in Central Ohio, ODOT and MORPC's counts.",https://discovery.smartcolumbusos.com/dataset/morpc/2f3cbad2_c4a4_40b4_a242_73d7f718e712
121,Fresh Food Markets Data,CSV,"May 3, 2018 (Last updated by provider)",This datasets identifies the fresh food stores and markets for Columbus region.,https://discovery.smartcolumbusos.com/dataset/fresh_foods_here/2195b128_3fe3_4a10_baf6_fca7ab8349a7
122,Fuel Station Metrics - Columbus 2018 -- Location Analytics v2,CSV,"May 17, 2018 (Last updated by provider)","This Geotab dataset represents the location of fueling stations, and various metrics associated with these stations including average amount of time spent at the station, popular hours, fuel type, and vehicle type. The dataset is based on t...",https://discovery.smartcolumbusos.com/dataset/geotab/69af7a70_4924_4e66_a53b_5ea8475ff2aa
123,Geotab Daily Traffic - Columbus 2018,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset provides average roadspeed, broken down by direction of travel and day of week. The dataset is based on daily commercial vehicle data, and is updated daily.",https://discovery.smartcolumbusos.com/dataset/geotab/ae37d67c_aee3_4884_b1ee_134cd657513f
124,Geotab Daily Traffic - Columbus 2018 -- Complete Dataset,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset provides average roadspeed, broken down by direction of travel and day of week. The dataset is based on daily commercial vehicle data, and is updated daily.",https://discovery.smartcolumbusos.com/dataset/geotab/f2c5b958_a88e_4700_bfbe_2c116ad05cb5
125,Geotab Hourly Traffic - Columbus 2018,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset provides average roadspeed, broken down by direction of travel, time of day, and day of week. The dataset is based on daily commercial vehicle data, and is updated daily.",https://discovery.smartcolumbusos.com/dataset/geotab/03e2736e_c3ec_4677_91d7_a73a8dc0b7fb
126,Geotab Pressure Data for Columbus - 2018,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset pulls roadside temperature data from commercial vehicles within a specific jurisdiction. The data is reported hourly, and is updated on a daily basis.",https://discovery.smartcolumbusos.com/dataset/geotab/9f505fb2_e6a3_46f9_b004_930b28a284fb
127,Geotab Road Impediments for Columbus - 2018,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset identifies potential local road impediments and road roughness by aggregating vertical axis accelerometer data from commercial vehicles. The dataset is based on the previous month of data, and is updated weekly.",https://discovery.smartcolumbusos.com/dataset/geotab/822f01f0_e43e_4215_ab79_27580342e85d
128,Geotab Temperature Data for Columbus - 2018,CSV,"May 14, 2018 (Last updated by provider)","This Geotab dataset pulls roadside temperature data from commercial vehicles within a specific jurisdiction. The data is reported hourly, and is updated on a daily basis.",https://discovery.smartcolumbusos.com/dataset/geotab/5738774b_6891_4288_b7a7_a2e46afb3b7b
129,Hazardous Driving Areas - Columbus 2018 -- Urban Infrastructure,CSV,"May 14, 2018 (Last updated by provider)",This Geotab dataset identifies hazardous driving areas based on to the concentration of harsh braking and accident level events within a specific area. The dataset is based on the previous 12 months of commercial vehicle data and is updated...,https://discovery.smartcolumbusos.com/dataset/geotab/e6a79269_cdf8_4909_8fe1_e4c99e3bb658
130,Historic Bridge Inventory -- CSV,CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/odot/45a77f38_48bb_4811_a590_6c81133cf9f7
131,"Honda In Vehicle Monitoring Accelerometer, GForce and Severity Data - May 4,7 & 8",CSV,"May 14, 2018 (Last updated by provider)","This dataset identifies the in vehicle monitoring data from Honda pilot vehicles captured on May 4th, 7th and 8th of 2018. This data includes the 3 axes accelerometer, Gforce and Severity data.",https://discovery.smartcolumbusos.com/dataset/honda/8ec10a46_58f5_4a2d_9fa0_9ab3fe4748cc
132,Household Income and Marital Status of HH Residents - Central Ohio 2016 -- ACS_16_5YR_S1901_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the Household Income and resident marital status per each census tract for Central Ohio region. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/d3bc63f7_f9f4_4f52_afbf_e88faa3e6c96
133,Household Size and Vehicle Availability - Central Ohio 2016 -- ACS_16_5YR_B08201_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the household size and their respective vehicle ownership. This data is available at a census tract level for Central Ohio region. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/0027c1fc_4b04_48f6_839f_89b10caf14ea
134,Household Type by Units in Structure - Central Ohio 2016 -- ACS_16_5YR_B11011_with_ann,CSV,"May 2, 2018 (Last updated by provider)","This dataset identifies the units in structure categorized by household type (single, married, etc.,). This data is available at a census tract level for Central Ohio region. This dataset is for year 2016.",https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/bcb96eec_c841_4864_ae08_0bbfe2b5df45
135,Idling Area - Columbus 2018 -- Urban Infrastructure,CSV,"Apr 1, 2018 (Last updated by provider)","This Geotab dataset identifies areas of excessive idling, including average idling time, popular idling hours of the day, fuel type, and vehicle type. The dataset is based on the previous 12 months of data and is updated on a monthly basis....",https://discovery.smartcolumbusos.com/dataset/geotab/619f4841_c713_4087_adb9_3de6d78e4774
136,Infant Birth Weight -- Birth Weight (by Maternal Age),CSV,"Apr 28, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/0e4c79bc_1ac0_4c88_a85f_425400be5d0d
137,Infant Birth Weight -- Birth Weight (by Race/Ethnicity),CSV,"Apr 28, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/e870fd77_dee8_4109_b62d_054843fa3bd5
138,Infant Mortality Rate and Birth Weight Data 2017-2018 -- Live Births Low BW,CSV,Date not provided (Last updated by provider),"This dataset represents Live Births, Deaths, Infant Mortality Rates and Low Birth Weights for 43203, 43204, 43205, 43206, 43207, 43211, 43219, 43222, 43223, 43224, 43227, 43229 & 43232 zip codes in Franklin county. Birth weights data was ag...",https://discovery.smartcolumbusos.com/dataset/columbus_public_health/38a830be_1408_41ae_8d2b_e1309f41c4cc
139,Infant Mortality Rate and Birth Weight Data 2017-2018 -- Number of live births and infant mortality rate 6-1-2013 to 5-31-2018,CSV,Date not provided (Last updated by provider),"This dataset represents Live Births, Deaths, Infant Mortality Rates and Low Birth Weights for 43203, 43204, 43205, 43206, 43207, 43211, 43219, 43222, 43223, 43224, 43227, 43229 & 43232 zip codes in Franklin county. Birth weights data wa...",https://discovery.smartcolumbusos.com/dataset/columbus_public_health/be379af8_ca73_448e_8ec3_511b40e89eee
140,Infant Mortality Rate and Birthrate Data 4/2018 to 4/2019,CSV,Date not provided (Last updated by provider),This dataset identifies the infant mortality rates for Columbus neighborhoods 4/2018-4/2019,https://discovery.smartcolumbusos.com/dataset/columbus_public_health/infant_mortality
141,Mode of Commute to Work - Central Ohio 2016 -- ACS_16_5YR_B08141_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the modes used by central Ohio residents to commute to work at census tract level. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/57e058a7_07f9_424a_ad09_74f6dd5369ba
142,"Modified Retail Food Environment Index - Central Ohio Census Tract Level -- Central Ohio, Census Tracts mFREI",CSV,Date not provided (Last updated by provider),This dataset identifies the availability of healthy food stores in each census tract in Central Ohio.,https://discovery.smartcolumbusos.com/dataset/center_for_disease_control/687ec485_7ae5_4c5b_90f4_d781b36c54f2
143,Multimodal Trip Data,JSON,Date not provided (Last updated by provider),This dataset presents information about the trips taken using the Pivot Application. The trip information is aggregated using SharedStreets. Trip information is aggregated to street segments and Bins.,https://discovery.smartcolumbusos.com/dataset/pivot/mmtpa
144,NOAA Weather Data for Central Ohio,CSV,Date not provided (Last updated by provider),"This is a public dataset downloaded from NOAA's Local Climatological Data portal consisting of weather readings at three central Ohio weather stations with a resolution of 10-minute intervals, from Oct 2018 to June 2019.",https://discovery.smartcolumbusos.com/dataset/noaa/34a755c7_5d60_4cda_a271_0f94e85c9d0e
145,NOAA Weather Station Information,CSV,Date not provided (Last updated by provider),"This dataset presents information about the stations that report weather observations in ""NOAA Weather Data for Central Ohio"" dataset. Station details include location, start and most recent date of measurements, and elevation.",https://discovery.smartcolumbusos.com/dataset/noaa/61f0556d_de4d_4af4_89c1_628ece4f971d
146,Noise Measurements Data for Ohio State -- WGIS,CSV,"Mar 1, 2018 (Last updated by provider)","This dataset identifies the noise measurements of freeways (uninterrupted roadways) in Ohio State. The dataset includes pavement condition rating, pavement type, AADT classification by Passenger cars, trucks and heavy trucks, maximum and mi...",https://discovery.smartcolumbusos.com/dataset/odot/4a5d18e2_532e_4500_8001_1152d536aee2
147,NREL Fleet DNA project Truck Platooning Data -- Composite,CSV,"Jan 14, 2017 (Last updated by provider)","This data represents fleet DNA data collected between 07/2008 to 07/2014 by NREL. Commercial fleet vehicle operating data including vehicle speed distribution, starts, stops, braking, idling time, kinetic intensity, etc., are collected from...",https://discovery.smartcolumbusos.com/dataset/nrel/471ac7c4_a7be_4cdf_9440_a279fcd27a88
148,ODOT Construction Projects - Lines - 2019 (Current),CSV,Date not provided (Last updated by provider),"This dataset presents the road construction projects in the state of Ohio. Some of the current (as of 06/24/2019) projects span between 11/2013 to 07/2023. Information in the dataset includes beginning and ending locations, categories of co...",https://discovery.smartcolumbusos.com/dataset/odot/8dfdd7dc_95c9_4f54_a07d_55c54667ed72
149,ODOT Construction Projects - Lines - 2019 (Future),CSV,Date not provided (Last updated by provider),"This dataset presents the road construction projects in the state of Ohio. Some of the future (as of 06/24/2019) projects span between 11/2013 to 07/2023. Information in the dataset includes beginning and ending locations, categories of con...",https://discovery.smartcolumbusos.com/dataset/odot/db8a6568_4e15_4184_8c9c_2a4064f2a156
150,ODOT Construction Projects - Lines - 2019 (Previous),CSV,Date not provided (Last updated by provider),"This dataset presents the road construction projects in the state of Ohio. Some of the previous (as of 06/24/2019) projects span between 11/2013 to 07/2023. Information in the dataset includes beginning and ending locations, categories of c...",https://discovery.smartcolumbusos.com/dataset/odot/6e93be92_5bc3_46e6_879a_89cd20e3a79b
151,ODOT Crosswalk Inventory,GEOJSON,Date not provided (Last updated by provider),This dataset presents information about all the crosswalks on roadways maintained by the Ohio DOT,https://discovery.smartcolumbusos.com/dataset/odot/odot_crosswalk_inventory
152,ODOT Curb Ramp Inventory,GEOJSON,Date not provided (Last updated by provider),This dataset presents information about all the curb ramps on roadways maintained by the Ohio DOT,https://discovery.smartcolumbusos.com/dataset/odot/odot_curb_ramp_inventory
153,ODOT Sidewalk Inventory,GEOJSON,Date not provided (Last updated by provider),This dataset presents information about all the sidewalks along the roadways maintained by the Ohio DOT,https://discovery.smartcolumbusos.com/dataset/odot/odot_sidewalk_inventory
154,ODOT Traffic Count Stations -- WGIS,CSV,"Oct 25, 2017 (Last updated by provider)","This dataset identifies that traffic counts stations located on the interstate, state, municipal, county, local and US routes in Ohio.",https://discovery.smartcolumbusos.com/dataset/odot/4a94f9a9_a476_4b6c_93ac_72acdf598f23
155,ODOT Truck Parking Information Management System (TPIMS) Dynamic,JSON,"May 7, 2018 (Last updated by provider)",This dataset provides the dynamic feed displaying the current status of available parking locations.,https://discovery.smartcolumbusos.com/dataset/mid_america_assc_trnsprt_ofls/ab3fdb4d_9794_4839_b49b_e65e8458a5f3
156,Ohio Age Classification - Census Tract Level 2006-2010 -- Age (All Persons),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Age dataset is a subset of the 2006-201...,https://discovery.smartcolumbusos.com/dataset/aashto/c7b1add5_c9b6_4d37_abc3_a7c40ad10a00
157,Ohio All Grades Gasoline Prices 2003-2019,CSV,Date not provided (Last updated by provider),This dataset presents weekly averages of fuel prices for Ohio from 05/2003 to 06/2019,https://discovery.smartcolumbusos.com/dataset/us_energy_information_administration/4c639987_53aa_49a6_8eb3_9bf70ad71620
158,Ohio Crash Data 2018,CSV,Date not provided (Last updated by provider),This dataset presents information about crashes that occurred in Ohio region in 2018. This dataset matches with crash data available through ODOT TIMS.,https://discovery.smartcolumbusos.com/dataset/odot/ac085677_e8b3_42d5_8a7e_6b809b978497
159,Ohio Demographics -- Columbus - Quick Facts Apr-13-2018,CSV,"May 8, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/27f0ac78_8c8c_42b2_9303_dd174aebf509
160,Ohio Demographics -- Franklin County Ohio - Quick Facts Apr-13-2018,CSV,"May 8, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/e4018a86_9af7_4664_a48f_67000fec8659
161,Ohio Financial Characteristics - Census Tract Level 2016 -- ACS_16_5YR_S2503_with_ann,CSV,Date not provided (Last updated by provider),This dataset identifies the financial characteristics of Ohio state at a census tract level. Financial characteristics include: 1. HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) 2. MONTHLY HOUSING COSTS 3. ...,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/56d21a8a_d2c4_4bc9_b498_6826289e13f4
162,Ohio One Source Licensed Healthcare Facilities in Ohio,CSV,Date not provided (Last updated by provider),"This dataset is intended to provide a ""one stop shop"" to search, filter, and extract information for all licensed healthcare facilities within the State of Ohio. Examples of provider types include, but are not limited to the following: AS -...",https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/b19a167d_9588_40a5_9fbc_c0ca418e87f6
163,Ohio Population - Census Tract Level 2006-2010 -- Population (All Persons),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio population dataset is a subset of the 2...,https://discovery.smartcolumbusos.com/dataset/aashto/add5d9ba_36fc_4e28_9dad_46f5d030b102
164,Ohio Resident Mortality: 2012-2016 (by age and county),CSV,"May 1, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/5c78b029_0976_4e12_9d77_948b1ec2ccca
165,Ohio Worker Classification - Census Tract 2006 - 2010 -- Age of Worker (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio worker classification dataset is a subs...,https://discovery.smartcolumbusos.com/dataset/aashto/cd0a2f85_0360_4012_889e_68553b75f100
166,Ohio Worker Classification - Census Tract 2006 - 2010 -- Class of Worker (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio worker classification dataset is a subs...,https://discovery.smartcolumbusos.com/dataset/aashto/73cf20e9_0207_4d81_9e2a_cfcce245979b
167,Ohio Worker Classification - Census Tract 2006 - 2010 -- Total Workers (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio worker classification dataset is a subs...,https://discovery.smartcolumbusos.com/dataset/aashto/1c1a5b9a_8f57_4107_b7c2_df38b23ea223
168,Ohio Worker Earnings Census Tract Level 2006-2010 -- Earnings in the past 12 months (in 2010 inflation adjusted dollars) (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio worker earnings dataset is a subset of ...,https://discovery.smartcolumbusos.com/dataset/aashto/ba95bcb0_0d0e_494b_9673_4a41508ab8a1
169,"Ohio Worker Vehicle Occupancy - Census Tract 2006 - 2010 -- Workers per car, truck, or van (Workers 16 years and over who used car, truck, or van)",CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Worker Vehicle Occupancy dataset is a s...,https://discovery.smartcolumbusos.com/dataset/aashto/15c31c63_151a_4f6d_97e3_2a2d97621a4c
170,"Ohio Worker Vehicle Occupancy - Census Tract 2006 - 2010 -- Workers per car, truck, or van by time leaving home (Workers 16 years and over who used car, truck, or van)",CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Worker Vehicle Occupancy dataset is a s...,https://discovery.smartcolumbusos.com/dataset/aashto/4199b51a_1a76_483e_b8b3_620f9643abe4
171,Ohio Worker Vehicle Occupancy - Census Tract 2006 - 2010 -- Workers per carpool by time leaving home (Workers 16 years and over who carpooled),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Worker Vehicle Occupancy dataset is a s...,https://discovery.smartcolumbusos.com/dataset/aashto/2b040fa1_5d51_4bd6_ae8a_dda4c31b04fb
172,Ohio Workers Classicifation based on Industry - Census Tract Level 2006-2010 -- Industry (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Worker Industry Classification dataset ...,https://discovery.smartcolumbusos.com/dataset/aashto/3350b32f_717b_4dc7_961f_070a993fb887
173,Ohio Workers Poverty Status - Census Tract 2006 - 2010 -- Poverty status by Time arriving (Workers 16 years and over for whom poverty status is determined),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio Workers Poverty Status dataset is a sub...,https://discovery.smartcolumbusos.com/dataset/aashto/e3ea3d7e_c773_4563_a7cb_5e421c95d177
